Mouse_ID,ASP,SYP,MM,TM,,total IgG(ng/ml),IgG1(ng/ml),IgG2a(ng/ml),total IgE(ng/ml),MCPT-1(pg/ml),IL-4 (pg/ml),IL-5 (pg/ml),IL-10 (pg/ml),IL-13 (pg/ml),IFN-g (pg/ml),% eosinophils spleen,% CD8+ spleen,% CD4+ spleen,% Foxp3+ in CD4+ (Treg) spleen,% T-bet+ in CD4+Foxp3- (Th1) spleen,% Th1 poliferation spleen,% GATA-3+ in CD4+Foxp3- (Th2) spleen,% IL-13+ in CD4+ spleen,% IFN-g+ in CD4+ spleen,% IL-10+ in CD4+ spleen,% IL-10+ in non-Tcells spleen,%IFN-g+ in IL-10+ spleen,%IFN-g+IL-10+ in CD4+ spleen,%IFN-g-IL-10+ in CD4+ spleen,%Ki-67 in Foxp3+ spleen,%Ki-67 in T-bet+ spleen,%Ki-67 in GATA-3+ spleen,CD4+ proliferation (=Ki67+) spleen,CD8+ prol. (=Ki67+) spleen,CD4-CD8- proliferation (=Ki67+) spleen,% CD8+ mLN,% CD4+ mLN,% Foxp3+ in CD4+ (Treg) mLN,% T-bet+ in CD4+Foxp3- (Th1) mLN,% GATA-3+ in CD4+Foxp3- (Th2) mLN,% IL-13+ in CD4+ mLN,% IFN-g+ in CD4+ mLN,% IL-10+ in CD4+ mLN,%IFN-g+ in IL-10+ mLN,%IFN-g+IL-10+ in CD4+ mLN,%IFN-g-IL-10+ in CD4+ mLN,%Ki-67 in Foxp3+ mLN,%Ki-67 in T-bet+ mLN,%Ki-67 in GATA-3+ mLN,CD4+ prol histo mLN,CD8+ prol histo mLN,CD4-CD8- prol histo mLN
AA_0729,0,5,28,0,,411600,2453965,37040,5332,1162.975,,,,,,3.9,9.59,30.37,10.465,6.293,16.6,3.154,1.6,8,2.2,0.1,31.81818182,0.7,1.5,10.8,16.6,23.6,6.9,6.6,13.9,10.02,49.43,7.92,2.21,3.32,0.47,0.26,0.2,20,0.04,0.16,9,19.2,11.2,4.3,5.6,5.4
AA_0730,0,0,0,0,,,,,,,,,,,,4.4,15.4,38.67,8.223,0.936,33.7,2.498,0.5,1.5,4.3,1,2.325581395,0.1,4.2,22.1,33.7,36.7,8.5,4.9,18.2,20.01,50.55,6.49,0.61,2.84,0.1,0.26,1.22,3.278688525,0.04,1.18,24.4,37.7,27.6,5.5,3.8,7.7
AA_0763,0,0,0,0,,797500,4333965,232550,19731.5,794.25,1.98,0,0,0,856.07,0.7,7.53,18.79,5.345,5.607,33.4,1.877,0.5,3.7,0.7,0.4,28.57142857,0.2,0.5,28.9,29.4,32.2,9,3.1,8.5,10.79,25.06,3.68,3.04,0.28,0.06,0.47,0.41,0,0,0.41,18,41.1,16.2,5.5,2.8,2.1
AA_0764,0,0,0,0,,205200,0,154430,16229,0,0,0,0,0,0,1.1,8.36,16.32,7.028,7.316,36.7,4.696,1,6.8,3.4,2,35.29411765,1.2,2.2,24.4,33,57.4,10.5,7.1,8.8,12.62,43.35,8.1,1.13,0.67,0.74,0.55,1.2,8.333333333,0.1,1.1,14.1,35.9,26.7,5.1,4.9,3.9
AA_0765,0,0,0,0,,18700,42855,0,1403.5,0,,,,,,0.4,9.82,19.05,5.259,2.385,38.8,2.806,,,,,,,,32.9,33.3,60,12.6,6.4,9.1,10.17,46.38,2.94,1.12,2.3,,,,,,,17.7,34.1,10.5,5.6,9.9,5.6
AA_0766,0,0,0,0,,,,,,,,,,,,0.3,5.66,24.08,3.032,2.084,37.8,3.284,0.2,1.5,1.8,0.2,11.11111111,0.2,1.6,40.2,35.9,25.3,12.7,11.3,12.2,4.86,31.23,2.42,0.68,1.8,,,,,,,23,40,14,7.6,9.1,3.3
AA_0767,0,0,0,0,,1546000,2662510,286630,3848,1032.45,28.36,0,0,0,280.41,0.6,10.59,27.32,3.698,4.633,50.6,0.922,0.5,3.5,4.1,0.2,7.317073171,0.3,3.8,32.7,46.2,27.5,6.9,6.1,8.3,10.14,49.33,2.15,1.26,1.98,0.41,1.02,2.91,4.467353952,0.13,2.78,29.5,42.3,18.3,5,4.6,5.2
AA_0768,0,1,0,0,,277600,24183975,186050,17267.5,0,0,0,0,0,3639.55,1,1.54,11.47,3.652,14.749,88.3,1.424,8.3,26.9,10.5,0.2,56.19047619,5.9,4.6,43.7,87.6,20.3,18.3,13.8,6.3,3.53,56.43,7.66,3.38,10.3,,,,,,,7.5,38.3,8.8,5.1,7.2,4.4
AA_0769,0,0,0,0,,1342800,3176985,80920,8917.5,346.15,132.636,134.36,72,2278.06,15385.93,0.7,4.91,14.17,5.823,6.378,31,2.536,0.7,4.1,1.9,0.5,10.52631579,0.2,1.7,45.7,26.5,48.6,11.2,7.2,13,6.57,33.64,2.75,1.47,0.8,0.24,1.6,25.05,0.079840319,0.02,25.03,29.1,33.3,24.2,7.3,6,6
AA_0770,5,0,0,6,,3177000,18501800,785930,12184.5,0,564.284,77.948,0,70.944,1084.84,1.4,10.22,15.02,7.813,19.327,39.8,6.506,0.9,10.4,2.3,1.3,47.82608696,1.1,1.2,23.3,36.9,45.1,18,11.5,11.7,9.52,18.71,6.82,13.07,2.37,0.17,2.03,1.18,21.18644068,0.25,0.93,23.1,40.4,40.8,12.3,12.1,6.9
AA_0771,0,0,0,14,,1624200,2520500,979380,8513.5,376.1,393.42,995.588,12,204.912,1340.18,1.5,5,11.04,9.726,9.265,26.6,4.753,1.4,16.6,2.4,1.2,62.5,1.5,0.9,12.7,23.1,25.3,10.9,10.1,7.9,14.68,25.29,4.01,5.6,0.89,2.3,4.89,1.44,20.13888889,0.29,1.15,8.6,29.5,25,5.8,7.2,5
AA_0772,0,0,0,0,,1644500,8010350,2570,6933,1758.8,208.08,332.2,857,2953.48,12681.66,0.5,4.66,17.08,4.79,2.107,43,1.98,0.3,1.7,0.6,0.4,33.33333333,0.2,0.4,39.6,39.1,51.2,10.5,8.6,14.2,10.61,45.73,4.62,3.04,4.19,,,,,,,24,28,17.4,10.6,9,12.3
AA_0773,0,0,0,0,,2931100,28407325,222850,17637.5,1121.9,0,0,0,0,30.73,0.7,9.61,20.82,4.766,2.436,41.1,2.102,0.3,1.9,6.1,0.2,3.278688525,0.2,5.9,22.5,38.3,13,6.7,5.6,12.4,9.35,46.83,3.33,0.94,3.24,0.82,1.11,45.28,0,0,45.28,15.9,31.8,9.1,5.6,7.5,5.5
AA_0774,0,19,0,0,,2270500,15531950,61440,5653.5,2043,0,0,0,0,0,1.7,5.25,24.01,4.839,4.122,37.3,3.711,0.6,2.9,1.9,0.9,15.78947368,0.3,1.6,33.6,34.6,20.5,10.5,10.9,10.7,6.96,52.22,2.29,0.66,5.17,,,,,,,14.4,32.3,13.1,5.6,4.3,3.3
AA_0775,0,79,0,0,,2700100,19396100,44520,8332.5,1344.55,109.204,11.144,82,133.176,1645.99,2.2,3.02,20.73,12.197,9.091,32.9,2.361,1.1,9.4,2.9,0.8,48.27586207,1.4,1.5,27.5,29.5,30.5,17.2,11.8,9,5.71,36.54,4.49,2.24,5.24,1.1,1.99,0.31,25.80645161,0.08,0.23,16.8,32.5,28.9,12.8,12.7,3
AA_0776,0,23,0,0,,296200,1330,9090,9564.5,958.1,,,,,,1.3,6.45,19.17,7.22,13.872,46,3.86,,,,,,,,31.5,42.1,65.7,18,8.3,16.4,16.82,35.46,5.38,4.85,0.71,,,,,,,20.6,25.9,66,7.7,8.4,10
AA_0777,0,34,0,70,,840700,0,376230,7255.5,0,,,,,,0.7,7.9,12.99,4.842,15.77,25.5,3.149,0.3,10.8,2.5,0.7,32,0.8,1.7,21.8,23.1,18,9.9,9.8,8,15.54,29.66,1.83,10.64,0.35,,,,,,,21.3,37.4,28.8,8,6,3.7
AA_0778,3,0,0,0,,1810000,28683800,61440,9965,1270.65,499.784,45.876,0,42.84,396.17,1.8,6.96,18.57,8.111,12.802,52.5,8.468,1.2,6.9,1.3,1,46.15384615,0.6,0.7,18.1,48.6,30.5,16.7,20.1,12,12.39,35.23,4.54,2.09,1.24,0.26,0.37,0.23,0,0,0.23,15.1,38.3,34.1,6.3,10.6,4.3
AA_0779,0,5,0,0,,3362000,29695900,278580,57004,943.075,4.956,1.544,0,0,46.57,1.9,2.96,15.33,9.718,7.255,20.4,3.321,3,6.9,2.4,0.8,29.16666667,0.7,1.7,22,17.8,15.3,9,6.9,3.5,7.27,33.33,5.82,3.55,6.76,,,,,,,17.7,28.8,13.2,7.7,8.4,4.8
AA_0780,0,0,0,0,,2211300,7787725,225260,10457,0,26.284,3.372,0,130.684,3686.51,0.3,4.93,17.34,3.133,2.998,42.8,1.607,0.3,2.3,2,0.1,20,0.4,1.6,39.9,37.1,44.4,8.7,8.6,11.1,6.76,43.71,2.05,0.59,1.04,0.28,1.5,0.85,14.11764706,0.12,0.73,21.7,23.3,13.4,4,4.8,4.8
AA_0781,0,1,0,0,,891300,5612950,357990,16587.5,13174.325,,,,,,0.9,17.21,24.29,4.901,4.75,34.9,2.903,0.5,2.2,0.7,0.2,42.85714286,0.3,0.4,32.7,31.6,40.5,9.3,6.1,9.5,22.4,35.67,3.86,1.18,1.23,0.61,0.42,0.07,0,0,0.07,24.9,50.4,20,6.1,5.9,4.6
AA_0782,0,0,0,0,,,1043910,,,25859.3,0,0,,0,0,1.9,7.45,29.4,4.229,0.737,56.2,1.34,,,,,,,,44.6,54.3,51.2,18.8,26.1,35.2,9.79,57.45,2.65,0.15,2.03,0.65,0.36,0.72,0,0,0.72,30.7,33.3,28.3,17.4,29.2,13.3
AA_0783,0,0,0,0,,944900,7806200,9090,5220,1270.65,,,,,,0.3,4.02,6.8,11.333,3.447,40.7,6.179,,,,,,,,23.6,35.2,33.3,10.1,6.9,6.1,16.84,45.44,4.63,0.56,0.15,0.1,0.03,0.03,0,0,0.03,19.3,39.4,38.5,5,4.3,4.9
AA_0784,0,0,0,0,,2342500,5798350,563360,4814,20643.975,,,,,,0.4,7.53,15.19,8.72,3.249,42.4,4.362,,,,,,,,20,39,48.2,9.5,6.4,6.2,13.48,41.26,5.74,0.45,0.48,,,,,,,9.2,42.2,23.4,3,2.8,2.1
AA_0785,0,94,0,0,,1563800,19223300,175200,32296,0,721.472,7.324,187,273.312,1542.72,3.5,13.96,23.27,7.517,4.448,31.9,2.656,0.7,3.9,1.1,1.2,54.54545455,0.6,0.5,25.1,27.1,51.9,11.1,8.8,9.4,19.77,53.06,5.24,1.46,1.38,0.68,0.51,0.12,50,0.06,0.06,14.4,30.3,34.8,4.2,5.8,6.2
AA_0786,0,18,0,0,,163600,1512940,2190,2793,4662.375,,,,,,1.1,17.99,17.08,16.588,8.295,57.7,7.968,,,,,,,,16.5,53,30.4,16.1,15.1,18,30.89,34.58,8.93,1.52,0.93,,,,,,,11.5,46.1,24.1,6.4,6.8,7.7
AA_0787,0,0,0,0,,149300,2539425,0,2864,45200.85,0,0,0,0,0,0.6,6.8,13.22,8.084,3.026,67.1,3.413,0.3,2.5,0.7,1.5,28.57142857,0.2,0.5,31.5,64,35.1,10.6,21.1,7.5,13.36,37.93,4.83,0.88,0.43,0.12,0.08,0.27,14.81481481,0.04,0.23,13,61.6,25.6,5.3,11.7,4.5
AA_0788,0,52,0,0,,1273800,10480850,544320,9829,1092.075,3.372,0,0,0,0,2.2,12.89,15.64,5.625,6.151,34,2.617,0.5,1.7,0.9,1.3,55.55555556,0.5,0.4,26.3,29.9,68.3,11.3,4.4,8.3,22.62,47.74,5.46,0.98,3.6,,,,,,,15.3,42.6,22.4,4.8,4.2,6.7
AA_0789,0,0,0,0,,77100,0,14390,1764,3593.15,,,,,,1,10.84,14.17,9.803,13.871,39.8,6.622,,,,,,,,26.3,36.2,31.9,17.2,18.6,13.6,22.32,40.74,6.86,2.04,0.34,0.46,0.37,0.28,17.85714286,0.05,0.23,27.5,63.8,55,12.7,14.9,7.6
AA_0790,0,0,0,0,,1103100,17854925,310490,13195,3035.525,6.588,0,0,0,20.51,1.5,9.71,12.96,7.112,8.635,55.6,7.582,,,,,,,,29.6,50.8,31.4,16.2,15.3,14.4,16.24,42.84,5.68,1.78,1.38,0.5,0.28,0.21,0,0,0.21,27,46.3,36.2,8.4,8.9,9.5
AA_0791,0,28,0,0,,3409900,10561575,447380,12001.5,1805.025,199.532,4.148,0,77.596,137.78,0.7,11.04,20.88,7.309,4.435,43.3,3.92,0.7,1.5,0.7,1.6,28.57142857,0.2,0.5,14.6,40,27,8.9,4.9,8.7,11.54,15.38,75,0,0,,,,,,,,,,0,0,13.3
AA_0792,0,57,0,0,,,,,,,,,,,,1.4,6.54,12.7,12.737,6.096,55.9,4.354,,,,,,,,43.4,48.5,67.5,27.3,23.1,30.6,16.31,34.71,5.98,5.73,2.01,,,,,,,37.9,79.1,73.2,19.4,25.8,13
AA_0793,0,19,0,0,,2878400,18296350,402340,4382.5,43693.875,1046.348,43.184,0,179.98,619.52,1.2,18.07,21.67,11.556,11.159,21.9,4.35,0.2,5.5,0.5,1.2,40,0.2,0.3,12.4,17.8,23.7,9.8,7.4,9.3,23.59,41.96,12.29,5.51,3.59,0.31,1.32,0.44,22.72727273,0.1,0.34,9.6,26.7,20.7,8.1,8.5,4.9
AA_0794,14,19,0,0,,2116100,5325800,1292890,#VALUE!,2902.625,16.296,0,0,4.928,2248.55,1,10.21,10.76,18.263,24.38,71.6,5.383,0.4,8.9,3.1,1.6,64.51612903,2,1.1,25.5,67.1,36.1,31,40.7,26,26.2,27.47,15.77,4.04,3.1,0.33,0.5,0.61,21.31147541,0.13,0.48,21.1,61,31.8,14,32.7,19
AA_0795,3,23,0,0,,692800,5674250,325740,#VALUE!,16979.75,2479.18,216.184,902,1157.968,5251.2,1.4,19.06,25.23,10.936,10.314,52.5,1.87,0.2,11.9,2.8,5.2,46.42857143,1.3,1.5,20.3,48.6,39,16.9,9.3,18.1,22.41,34.94,14.06,3.05,3.81,0.13,0.32,0.44,9.090909091,0.04,0.4,16.1,51,33,11.7,7.3,6.8
AA_0796,0,30,0,0,,968700,13351775,84840,4496,82076.25,,,,,,1.9,21.04,22.91,14.201,6.533,35.4,5.607,0.1,2,0.7,1.2,28.57142857,0.2,0.5,14.9,31.3,33.2,12.9,5.1,14.7,24.28,37.63,11.14,1.02,2.92,0.15,0.11,0.61,3.278688525,0.02,0.59,7.9,36.6,22.3,5.1,2.9,7
AA_0797,25,0,0,0,,772300,5342800,170880,4851.5,8319.05,1935.636,629.364,1857,1832.468,8735.33,1,14.2,19.87,15.097,18.377,50.9,2.793,0.3,9.2,1.9,4.1,47.36842105,0.9,1,28.9,45.9,36.1,30.2,23.4,19.6,26.64,30.06,11.43,4.26,1.38,0.15,0.67,0.22,31.81818182,0.07,0.15,33.6,57.3,60,21.4,14.6,6.6
AA_0798,0,0,0,1,,888900,12499500,135630,11790,2532.3,,,,,,1.3,22.01,19.87,10.383,17.439,28.1,5.41,,,,,,,,18.4,26.1,24.3,14.1,8.5,20.2,35.27,38.42,8.85,4.05,1.38,0.21,0.25,0.13,7.692307692,0.01,0.12,20,44.9,33,11.2,4.6,9
AA_0799,0,69,0,0,,1326800,10832750,161310,2223,219649.2,,,,,,0.6,22.78,22.78,12.688,11.715,37.7,6.101,,,,,,,,18.5,32.3,29.2,13.5,4.8,18.3,29.78,31.75,14.09,3.85,1.97,,,,,,,15.6,55,43.3,11.3,6.2,6.2
AA_0800,0,16,0,0,,,,,,,,,,,,1.1,5.98,16.15,19.928,6.789,61.1,6.779,,,,,,,,36.3,53.2,57.5,30.3,15.5,27.8,16.3,46.51,10.2,2.26,2.84,,,,,,,37.5,51.9,60,17.5,12.3,9
AA_0801,0,61,0,0,,3621400,23366250,361910,5100,1002.825,846.52,849.508,1217,1210.016,7345.37,1.7,29.78,24.92,10.309,7.312,19,4.283,0.2,9.3,1.9,4.7,36.84210526,0.7,1.2,13.6,16.9,23.7,10.4,5.6,23.1,45.9,31.3,11.33,3.77,2.51,0.25,0.41,0.56,5.357142857,0.03,0.53,11.1,28.2,22.8,9.6,5,7
AA_0802,15,97,0,0,,2712100,32722275,206460,16780,32444.125,2500.224,360.752,897,902.14,5856.06,4.4,28.61,25,12.431,11.072,45.5,3.476,0.2,12.7,0.7,3.3,57.14285714,0.4,0.3,15.8,42,52.1,16.2,6.6,14.3,38.89,39.61,11.12,2.17,2.08,0.13,0.78,0.33,9.090909091,0.03,0.3,10.3,41.8,32.2,8.5,4.1,9.7
AA_0803,10,0,0,0,,942000,8519225,129900,1609,129407.925,584.032,199.832,287,1040.044,11088.39,1.7,22.2,25.8,19.416,9.223,26.4,3.839,0.4,8.5,1.9,3.1,36.84210526,0.7,1.2,20,22.4,27.8,14.8,9,20,22.51,34.16,14.46,1.3,1.93,0.2,0.33,0.37,5.405405405,0.02,0.35,11.9,29.7,26.8,8,5.7,5.2
AA_0804,3,0,0,0,,987500,8954575,217220,2840.5,10733.775,,,,,,1.8,27.46,27.92,11.229,10.211,36.6,5.964,,,,,,,,24.8,33.9,27.6,15.5,7.9,18.1,22.83,32.23,13.2,3,1.48,0.11,0.58,0.82,6.097560976,0.05,0.77,17.5,50.9,44,13.2,9.8,6
AA_0805,17,0,0,0,,2625900,24422700,538690,5936,25137.625,51.164,1.068,0,3.792,0,2.6,17.07,37.56,9.989,12.03,39.6,6.131,0.2,2.8,0.4,2.7,25,0.1,0.3,22.6,36.6,37,17.5,9.4,18.6,23.08,32.84,15.56,5.2,1.75,0.44,1.36,0.75,36,0.27,0.48,27.4,48.2,48.9,18.4,8.3,10.9
AA_0806,35,0,0,0,,1205100,6694625,274910,5085,12621,0,0,0,0,0,2.9,17.03,38.2,10.964,10.446,42.8,2.827,0,3.1,0.7,5.1,42.85714286,0.3,0.4,26.2,38.5,40,16.9,7.4,19.1,24.43,35.56,14.89,1.74,1.34,0.18,0.51,1.19,1.680672269,0.02,1.17,8.8,38.3,19.6,6.5,4.6,4.8
AA_0807,15,0,0,0,,642800,6862625,121530,2263,11406.825,560.796,503.74,412,485.124,9334.87,1.2,21.43,26.24,18.298,7.121,38.7,3.48,0.2,2.6,0.6,2.7,16.66666667,0.1,0.5,18.5,34.7,33.2,14.3,8.7,22,27.35,29.76,15.06,3.98,1.16,0.06,0.25,0.69,1.449275362,0.01,0.68,13.5,39.3,38.2,9.9,7.5,7
